Station Name,Street Address,City,State,Zip Code,Connector1,Connector2,Connector3,Connector4,Geocode Status,Latitude,Longitude,ID
Magnolia Mall - Tesla,2701 David H McLeod Blvd,Florence,SC,29501,,,18,,200-9,34.190652,-79.831557,91694
Hopkins Parking Ramp,26 10th Ave S,Hopkins,MN,55343,2,,,,200-9,44.923553,-93.413391,91698
Buckland Plaza - Tesla,1470 Pleasant Valley Rd,Manchester,CT,6040,,,16,,200-9,41.805821,-72.560996,91699
York County - Poquoson Courthouse,300 Ballard St,Yorktown,VA,23690,,2,,,200-9,37.232314,-76.511345,91702
Yorktown Library,8500 George Washington Memorial Hwy,Yorktown,VA,23692,,1,,,200-8,37.194887,-76.490472,91703
Palmetto Electric Co-op,111 Mathews Dr,Hilton Head Island,SC,29926,,1,,,200-9,32.209768,-80.702083,91852
Popeye's,15 Park Ln,Hilton Head Island,SC,29928,,1,,,200-9,32.165083,-80.74299,91853
Kilmarlic Golf Club - Tesla,215 West Side Ln,Powells Point,NC,27966,,2,,,200-8,36.11945,-75.838482,91854
Smithfield's Chicken 'N Bar-B-Q - Tesla,4670 East Coast Ln,Shallotte,NC,28470,,1,,,200-9,33.962722,-78.417525,91858
Apache Family Campground,9700 Kings Rd,Myrtle Beach,SC,29572,1,1,,,200-8,33.768518,-78.789281,91859
Sandhills Bank,610 International Dr,Myrtle Beach,SC,29579,,1,,,200-9,33.76083,-78.859249,91860
Minnkota Power Co-op,5301 32nd Ave S,Grand Forks,ND,58201,,2,,,200-8,47.889455,-97.109812,91866
Poudre Valley Hospital,1024 S Lemay Ave,Fort Collins,CO,80524,,4,,,200-8,40.573724,-105.05786,91882
Ridgway 101,201 N Railroad St,Ridgway,CO,81432,,2,,,200-9,38.153119,-107.755538,91886
Best Western Lake Jackson Inn & Suites,702 Highway 332 E,Lake Jackson,TX,77566,,1,,,200-9,29.018348,-95.434176,91900
City of Lake Oswego,209 A Ave,Lake Oswego,OR,97034,,2,,,200-9,45.419827,-122.66573,33377
Discovery Center of Idaho,131 W Myrtle St,Boise,ID,83702,,2,,,200-8,43.609048,-116.199508,34106
I-64 West Rest Stop,I-64 W and VA-155,New Kent,VA,23140,4,,,,GPS,37.498704,-77.04348,35168
Lane Community College,4000 E 30th Ave,Eugene,OR,97405,10,10,,,200-9,44.009797,-123.033213,36371
Ohio State University - Center for Automotive Research,930 Kinnear Rd,Columbus,OH,43212,,,2,,GPS,39.997769,-83.032407,38116
Lawson Parking Ramp,10 W 6th St,St. Paul,MN,55102,4,4,,,200-8,44.946327,-93.095535,40046
Lower Town Parking Ramp,316 Jackson St,St. Paul,MN,55101,2,2,,,GPS,44.947042,-93.088226,40047
Cuyahoga Community College - Advanced Automotive Technology Center,11000 Pleasant Valley Rd,Parma,OH,44130,,2,,,GPS,41.36684,-81.7638,40613
TC Chevy,2045 Highway 99 N,Ashland,OR,97520,,2,,,200-9,42.218874,-122.740572,41085
Sheraton Waikiki,2255 Kalakaua Ave,Honolulu,HI,96815,,3,,,200-8,21.278535,-157.828317,41987
Whole Foods Market,5600 Magazine St,New Orleans,LA,70115,,2,,,200-9,29.920829,-90.117642,42488
Parking Lot,3030 SW 1st Ave,Portland,OR,97201,1,1,,,GPS,45.501198,-122.678531,43268
Nissan Village of North Attleboro,685 S Washington St,North Attleboro,MA,2761,,1,1,,200-9,41.960366,-71.342187,45902
Bishop Museum,1525 Bernice St,Honolulu,HI,96817,,2,,,200-9,21.333117,-157.870771,45929
Central Pacific Plaza,220 S King St,Honolulu,HI,96813,,2,,,200-9,21.307684,-157.860406,45930
Ewa Town Center,91-1401 Fort Weaver Rd,Ewa Beach,HI,96706,,1,,,200-9,21.334477,-158.023685,45932
Hawaii Prince Hotel,100 Holomoana St,Honolulu,HI,96815,,2,,,200-9,21.28611,-157.84002,45934
Hilton Hawaiian Village Waikiki Beach Resort,2003 Kalia Rd,Honolulu,HI,96815,,2,,,200-8,21.284441,-157.835662,45935
Kapolei Commons,4450 Kapolei Pkwy,Kapolei,HI,96707,,1,,,200-8,21.329123,-158.092664,45941
Mark's Garage,22 S Pauahi St,Honolulu,HI,96813,,1,,,200-9,21.311375,-157.860798,45943
Stadium Marketplace,4561 Salt Lake Blvd,Honolulu,HI,96818,,2,,,200-8,21.36587,-157.92929,45951
Topa Financial Center,745 Fort St,Honolulu,HI,96815,,2,,,GPS,21.30761,-157.86377,45952
University of Hawaii - Faculty Housing,3029 Lowrey Ave,Honolulu,HI,96822,,1,,,200-9,21.307772,-157.80777,45953
