State,Zip Code,Returns Filed,AGI
PA,18088,4330,254355
PA,18087,430,21310
PA,18080,5790,313199
PA,18078,3710,313428
PA,18077,1160,91528
PA,18076,1470,78151
PA,18074,2610,195844
PA,18073,4810,344372
PA,18072,3320,179079
PA,18071,5200,267987
PA,18070,430,25273
PA,18069,4050,445886
PA,18067,10080,592867
PA,18066,3030,231494
PA,18064,12620,946566
PA,18062,12510,1013103
PA,18059,660,42834
PA,18058,4240,216440
PA,18056,450,19747
PA,18055,6110,428686
PA,18054,2290,172178
PA,18053,1180,66634
PA,18052,15060,749048
PA,18051,1780,190722
PA,18049,9570,671847
PA,18045,14240,1078495
PA,18042,18920,937365
PA,18041,2830,175604
PA,18040,8100,665664
PA,18038,1640,93662
PA,18037,3860,219276
PA,18036,6950,642213
PA,18035,160,12217
PA,18034,3720,482996
PA,18032,4830,219554
PA,18031,4830,386578
PA,18020,10620,787529
PA,18018,16710,824973
PA,18017,19990,1395082
PA,18015,14050,931776
PA,18014,5940,335327
PA,18013,8460,485848
PA,18011,2880,179666
PA,17985,600,31400
PA,17983,720,33044
PA,17981,1190,47687
PA,17980,1650,74817
PA,17978,190,8975
PA,17976,2670,90942
PA,17972,5670,286106
PA,17970,1590,57958
PA,17968,170,8722
PA,17967,1210,60100
PA,17965,1040,42512
PA,17964,350,16873
PA,17963,4530,232177
PA,17961,3360,250778
PA,17960,1920,110080
PA,17959,680,27576
PA,17957,160,7079
PA,17954,2130,81746
PA,17949,110,4030
PA,17948,1960,69682
PA,17941,400,18342
PA,17938,1290,68715
PA,17935,690,25362
PA,17934,170,5100
PA,17931,2540,116447
PA,17929,820,37383
PA,17925,160,7207
PA,17922,2330,143564
PA,17921,2890,141764
PA,17901,10970,652338
PA,17889,1380,93687
PA,17888,160,6590
PA,17886,430,17393
PA,17881,670,26413
PA,17878,700,34222
PA,17876,870,41657
PA,17872,4190,149863
PA,17870,6300,348438
PA,17866,3700,150866
PA,17864,1070,47032
PA,17862,180,6214
PA,17860,1020,63240
PA,17859,1470,73596
PA,17857,3900,195006
PA,17856,1670,81108
PA,17855,510,25238
PA,17853,1450,64199
PA,17851,3350,126226
PA,17847,5740,256302
PA,17846,1700,84524
PA,17845,1030,41642
PA,17844,4660,234734
PA,17842,3890,172617
PA,17841,1920,80851
PA,17837,7090,543501
PA,17834,1650,74002
PA,17830,980,48038
PA,17827,400,18532
PA,17824,2110,139635
PA,17823,590,27785
PA,17821,9210,658237
PA,17820,2800,146690
PA,17815,11720,671504
PA,17814,2180,104249
PA,17813,960,41260
PA,17812,700,27005
PA,17810,930,42284
PA,17801,7920,329029
PA,17777,3360,160213
PA,17776,130,6713
PA,17774,510,24614
PA,17772,1120,55680
PA,17771,1550,78497
PA,17768,140,7485
PA,17765,520,24927
PA,17764,960,35719
PA,17760,260,11841
PA,17758,480,22456
PA,17756,5520,300304
PA,17754,6210,407394
PA,17752,2200,105006
PA,17751,3470,174730
PA,17747,1280,61755
PA,17745,7200,342816
PA,17744,1460,66372
PA,17740,6120,296004
PA,17737,3170,154174
PA,17728,2500,138969
PA,17724,2100,98444
PA,17702,5330,249617
PA,17701,19340,924631
PA,17603,32300,1753724
PA,17602,25210,1240530
PA,17601,26930,2128950
PA,17584,4770,314835
PA,17582,1020,66050
PA,17581,590,29021
PA,17579,3050,185083
PA,17578,3100,188368
PA,17576,140,5787
PA,17572,1690,86842
PA,17569,2870,201607
PA,17566,5410,295319
PA,17565,1300,81397
PA,17563,1630,81571
PA,17562,1960,96183
PA,17560,2470,117238
PA,17557,6990,403252
PA,17555,3300,174403
PA,17554,3880,216507
PA,17552,10230,625427
PA,17551,4100,260655
