Stn ID,Average AGI,Connectors,Nearest Zip Distance,Stn Lat,Stn Lng,Stn State,Zip Code,formatted_agi
75522.0,151091.53,1.0,,38.89996,-77.04086,DC,20006,"$151,091.53"
75523.0,113315.85,2.0,,38.901140000000005,-77.00689,DC,20005,"$113,315.85"
75524.0,178235.43,3.0,,26.3655442,-80.1023478,FL,33431,"$178,235.43"
75525.0,42769.62,1.0,,26.0816483,-80.236675,FL,33314,"$42,769.62"
75526.0,72831.37,8.0,,39.281345,-76.597487,MD,21231,"$72,831.37"
75527.0,86834.2,1.0,,33.888257700000004,-78.43280909999999,NC,28469,"$86,834.20"
75529.0,49040.23,1.0,,41.9411659,-85.00413509999998,MI,49036,"$49,040.23"
75534.0,26781.57,2.0,,41.792681099999996,-71.4194866,RI,02907,"$26,781.57"
75535.0,49650.42,8.0,,39.098365,-94.581638,MO,64106,"$49,650.42"
75537.0,86242.02,2.0,,37.6966088,-121.81852920000001,CA,94551,"$86,242.02"
75539.0,86242.02,2.0,,37.696611499999996,-121.8184209,CA,94551,"$86,242.02"
75540.0,60532.98,2.0,,44.482296399999996,-73.1928968,VT,05401,"$60,532.98"
75542.0,55270.33,4.0,,33.767441,-118.190657,CA,90802,"$55,270.33"
75543.0,78825.6,2.0,,29.736500300000003,-95.57113509999999,TX,77042,"$78,825.60"
75547.0,117646.91,2.0,,33.981285,-84.35291959999999,GA,30350,"$117,646.91"
75548.0,154247.06,7.0,,33.780552,-84.386646,GA,30309,"$154,247.06"
75549.0,114237.75,3.0,,37.287852,-121.944667,CA,95008,"$114,237.75"
75550.0,56591.86,2.0,,42.35000720000001,-71.14086850000001,MA,02135,"$56,591.86"
75558.0,27425.41,2.0,,40.40545,-79.8754111,PA,15104,"$27,425.41"
75559.0,50910.19,2.0,,39.28647720000001,-76.6259743,MD,21201,"$50,910.19"
75560.0,169707.41,1.0,,37.352973299999995,-122.0062547,CA,94087,"$169,707.41"
75568.0,123579.17,4.0,,47.585219,-122.127075,WA,98008,"$123,579.17"
75569.0,114347.74,6.0,,37.128375899999995,-121.65134990000001,CA,95037,"$114,347.74"
75577.0,47620.42,1.0,,43.970783000000004,-70.609685,ME,04055,"$47,620.42"
75578.0,89057.1,2.0,,43.590621999999996,-70.33864100000001,ME,04074,"$89,057.10"
75581.0,109161.41,2.0,,30.390540899999998,-90.0860124,LA,70471,"$109,161.41"
75582.0,80740.25,2.0,,37.6308341,-122.4681967,CA,94066,"$80,740.25"
75591.0,1175372.83,2.0,,37.4466041,-122.15845139999999,CA,94301,"$1,175,372.83"
75594.0,61298.42,2.0,,35.0774568,-92.46157209999998,AR,72034,"$61,298.42"
75595.0,75338.42,4.0,,33.558193,-117.185746,CA,92562,"$75,338.42"
75596.0,114040.09,2.0,,32.999687,-117.05707140000001,CA,92064,"$114,040.09"
75597.0,31452.98,8.0,,39.675328,-86.31444,IN,46241,"$31,452.98"
75598.0,43384.88,2.0,,33.973822600000005,-117.3692241,CA,92507,"$43,384.88"
75604.0,110565.7,2.0,,39.068534,-77.484628,VA,20147,"$110,565.70"
75605.0,122627.25,2.0,,38.951729,-77.349388,VA,20190,"$122,627.25"
75606.0,122627.25,2.0,,38.952396,-77.34992,VA,20190,"$122,627.25"
75607.0,82348.71,1.0,,39.012591,-77.439284,VA,20166,"$82,348.71"
