,AGI State,Stn State,Zip Code,Average AGI,Stn ID,Stn Lat,Stn Lng,Connectors,Nearest Zip Distance,State,formatted_agi
7470,TX,TX,77338,41973.55,39731.0,29.990275,-95.27560600000001,1.0,,,"$41,973.55"
7471,TX,TX,77338,41973.55,60496.0,29.985625,-95.293817,8.0,,,"$41,973.55"
7472,TX,TX,77304,81230.12,51553.0,30.296377000000003,-95.467003,2.0,,,"$81,230.12"
7473,TX,TX,77303,47130.6,75145.0,30.345809999999997,-95.41101,1.0,,,"$47,130.60"
7474,TX,TX,77302,65422.89,89044.0,29.985940000000003,-95.31859200000001,6.0,,,"$65,422.89"
7475,TX,TX,77301,36653.6,47866.0,30.303153000000002,-95.466768,2.0,,,"$36,653.60"
7476,TX,TX,77098,178060.23,41279.0,29.731211,-95.416823,1.0,,,"$178,060.23"
7477,TX,TX,77098,178060.23,67223.0,29.740878000000002,-95.418777,2.0,,,"$178,060.23"
7478,TX,TX,77098,178060.23,93271.0,29.737109999999998,-95.402397,3.0,,,"$178,060.23"
7479,TX,TX,77094,173179.1,68781.0,29.7839601,-95.65914029999999,2.0,,,"$173,179.10"
7480,TX,TX,77094,173179.1,93255.0,29.78408,-95.69179,5.0,,,"$173,179.10"
7481,TX,TX,77093,28660.17,93267.0,29.869514000000002,-95.32952900000001,3.0,,,"$28,660.17"
7482,TX,TX,77090,37583.75,48791.0,30.030167,-95.427623,3.0,,,"$37,583.75"
7483,TX,TX,77090,37583.75,39730.0,29.990205,-95.423096,2.0,,,"$37,583.75"
7484,TX,TX,77090,37583.75,60336.0,30.02429,-95.428389,4.0,,,"$37,583.75"
7485,TX,TX,77089,52929.11,54839.0,29.6017,-95.2175,2.0,,,"$52,929.11"
7486,TX,TX,77086,33238.7,46379.0,29.936950699999997,-95.4733214,2.0,,,"$33,238.70"
7487,TX,TX,77085,35084.61,77488.0,29.684428000000004,-95.423407,2.0,,,"$35,084.61"
7488,TX,TX,77079,165112.16,39729.0,29.785494,-95.60022,1.0,,,"$165,112.16"
7489,TX,TX,77079,165112.16,41287.0,29.771849,-95.621054,4.0,,,"$165,112.16"
