,Zip Code,Number of Stations,Average AGI,Number of Connectors,AGI Range,Percentage of Total Zips
479,85014,7,61577.13,17.0,50k-75k,37.0
480,93428,7,70707.93,10.0,50k-75k,37.0
481,93710,7,44653.77999999999,18.0,<50k,28.25
482,14623,7,44237.950000000004,27.0,<50k,28.25
483,96819,7,45583.46000000001,14.0,<50k,28.25
484,91105,7,222173.03,27.0,175k+,5.88
485,12205,7,55945.770000000004,21.0,50k-75k,37.0
486,21401,7,102264.0,14.0,100k-125k,7.38
487,94066,7,80740.25,34.0,75k-100k,15.33
488,92867,7,88117.77,9.0,75k-100k,15.33
489,91910,7,51363.72000000001,37.0,50k-75k,37.0
490,49464,7,65848.06,30.0,50k-75k,37.0
491,21217,7,38185.73,26.0,<50k,28.25
492,30080,7,73370.06,16.0,50k-75k,37.0
493,92408,7,35642.28,17.0,<50k,28.25
494,07302,7,134181.41,17.0,125k-150k,3.78
495,95603,7,73429.55,26.0,50k-75k,37.0
496,45202,7,119754.59999999999,26.0,100k-125k,7.38
497,75206,7,93433.63,18.0,75k-100k,15.33
498,92503,7,50312.51,27.0,50k-75k,37.0
499,80521,7,48772.549999999996,15.0,<50k,28.25
500,94089,7,95836.20999999999,16.0,75k-100k,15.33
501,64118,7,48450.19,33.0,<50k,28.25
502,97477,7,41952.549999999996,15.0,<50k,28.25
503,80111,7,159283.51,20.0,150k-175k,1.78
504,95020,7,81065.71999999999,26.0,75k-100k,15.33
505,21061,7,49913.49,12.0,<50k,28.25
506,92832,7,48870.08000000001,29.0,<50k,28.25
507,19971,7,91017.96999999999,19.0,75k-100k,15.33
508,64132,7,26283.66999999999,31.0,<50k,28.25
509,91355,7,93028.64,17.0,75k-100k,15.33
510,30060,7,38877.549999999996,18.0,<50k,28.25
511,53703,7,58166.12,18.0,50k-75k,37.0
512,13601,7,48698.97000000001,18.0,<50k,28.25
513,14221,7,93413.21999999999,17.0,75k-100k,15.33
514,93534,7,39205.700000000004,24.0,<50k,28.25
515,94104,7,984532.0600000003,13.0,175k+,5.88
516,31401,7,62148.21000000001,13.0,50k-75k,37.0
517,95050,7,94851.51,22.0,75k-100k,15.33
518,91911,7,42370.31,29.0,<50k,28.25
519,29306,7,44866.72000000001,14.0,<50k,28.25
520,66213,7,101228.61,46.0,100k-125k,7.38
521,02155,7,70907.2,16.0,50k-75k,37.0
522,92663,7,172950.44999999998,18.0,150k-175k,1.78
523,48917,7,52736.770000000004,12.0,50k-75k,37.0
524,21801,7,56302.71000000001,20.0,50k-75k,37.0
525,90025,7,195152.61999999997,22.0,175k+,5.88
526,30342,7,177910.07000000004,16.0,175k+,5.88
527,97045,7,66234.66000000002,15.0,50k-75k,37.0
528,92014,7,244795.67999999996,15.0,175k+,5.88
529,33304,7,101792.32999999999,19.0,100k-125k,7.38
530,95661,7,86346.88,25.0,75k-100k,15.33
531,27511,7,75672.16000000002,13.0,75k-100k,15.33
532,60134,7,116991.49,15.0,100k-125k,7.38
533,43212,7,81874.78000000001,13.0,75k-100k,15.33
534,97086,7,87168.33,17.0,75k-100k,15.33
535,97230,7,47503.46000000001,19.0,<50k,28.25
536,86001,7,63470.09999999999,29.0,50k-75k,37.0
537,78753,7,37205.79,16.0,<50k,28.25
538,06901,7,114348.91000000002,26.0,100k-125k,7.38
539,05301,7,50929.93,19.0,50k-75k,37.0
540,94621,6,33637.39000000001,26.0,<50k,28.25
541,06830,6,590733.93,19.0,175k+,5.88
542,01501,6,68508.61,19.0,50k-75k,37.0
543,92029,6,103081.58,14.0,100k-125k,7.38
544,30263,6,55710.83999999999,11.0,50k-75k,37.0
545,48103,6,99294.08999999998,18.0,75k-100k,15.33
546,32827,6,113369.95,32.0,100k-125k,7.38
547,98072,6,126230.93999999999,13.0,125k-150k,3.78
548,93230,6,54059.15,20.0,50k-75k,37.0
549,64116,6,56667.73,34.0,50k-75k,37.0
550,30096,6,51596.64000000001,12.0,50k-75k,37.0
551,78759,6,96638.98,33.0,75k-100k,15.33
552,80129,6,104298.98,16.0,100k-125k,7.38
553,98002,6,44446.72,16.0,<50k,28.25
554,03801,6,104536.73,11.0,100k-125k,7.38
555,61036,6,62600.0,10.0,50k-75k,37.0
556,80538,6,65638.84999999999,20.0,50k-75k,37.0
557,94030,6,114583.55,20.0,100k-125k,7.38
558,78207,6,24992.0,16.0,<50k,28.25
559,98065,6,148273.62,19.0,125k-150k,3.78
560,94014,6,56157.29,12.0,50k-75k,37.0
561,75063,6,101053.96,22.0,100k-125k,7.38
562,85201,6,35852.04,17.0,<50k,28.25
563,90035,6,101275.51,6.0,100k-125k,7.38
564,02114,6,159948.68999999997,24.0,150k-175k,1.78
565,64153,6,69101.07,71.0,50k-75k,37.0
566,90032,6,40094.49,28.0,<50k,28.25
567,32836,6,147281.04,24.0,125k-150k,3.78
568,01240,6,98326.98,11.0,75k-100k,15.33
569,94533,6,52077.38,15.0,50k-75k,37.0
570,72712,6,216446.82000000004,13.0,175k+,5.88
571,81623,6,106313.5,11.0,100k-125k,7.38
572,94061,6,117678.93999999999,18.0,100k-125k,7.38
573,33435,6,64249.58999999999,9.0,50k-75k,37.0
574,93536,6,64474.99,16.0,50k-75k,37.0
575,66219,6,76691.90000000001,38.0,75k-100k,15.33
576,94010,6,361938.16,19.0,175k+,5.88
577,06902,6,106253.31000000001,11.0,100k-125k,7.38
578,11901,6,51435.62,22.0,50k-75k,37.0
579,01060,6,71414.83,12.0,50k-75k,37.0
580,12180,6,51024.02,11.0,50k-75k,37.0
581,30354,6,29607.62,86.0,<50k,28.25
582,77007,6,161259.63,13.0,150k-175k,1.78
583,95062,6,72720.11,11.0,50k-75k,37.0
584,64804,6,57208.94,20.0,50k-75k,37.0
585,16801,6,75095.59999999999,8.0,75k-100k,15.33
586,92118,6,130053.09999999999,17.0,125k-150k,3.78
587,33309,6,39746.07,11.0,<50k,28.25
588,92882,6,60386.89000000001,13.0,50k-75k,37.0
589,33301,6,271013.08,12.0,175k+,5.88
590,94965,6,176512.80000000002,12.0,175k+,5.88
591,98005,6,141636.63,12.0,125k-150k,3.78
592,94945,6,110582.71999999999,19.0,100k-125k,7.38
593,94599,6,105659.33,12.0,100k-125k,7.38
594,94133,6,138829.41,16.0,125k-150k,3.78
595,90013,6,73133.7,21.0,50k-75k,37.0
596,29577,6,47903.28,18.0,<50k,28.25
597,32746,6,93110.81,14.0,75k-100k,15.33
598,95240,6,49641.96,15.0,<50k,28.25
599,95136,6,85151.08,12.0,75k-100k,15.33
600,94939,6,246604.62999999998,14.0,175k+,5.88
601,81632,6,130586.23,16.0,125k-150k,3.78
602,90021,6,102974.21999999999,34.0,100k-125k,7.38
603,37830,6,61983.18,10.0,50k-75k,37.0
604,92647,6,68744.81,19.0,50k-75k,37.0
605,98250,6,89960.14,8.0,75k-100k,15.33
606,93105,6,112023.25,16.0,100k-125k,7.38
607,32218,6,44896.59,11.0,<50k,28.25
608,64130,6,26166.78,22.0,<50k,28.25
609,37075,6,70879.54,10.0,50k-75k,37.0
610,93463,6,109691.71,10.0,100k-125k,7.38
611,60035,6,307540.12999999995,11.0,175k+,5.88
612,23185,6,89101.39,17.0,75k-100k,15.33
613,30312,6,60704.96,15.0,50k-75k,37.0
614,27587,6,89464.56,9.0,75k-100k,15.33
615,28277,6,126097.67999999998,11.0,125k-150k,3.78
616,85054,6,93912.26,18.0,75k-100k,15.33
617,93720,6,84566.81,11.0,75k-100k,15.33
618,55113,6,69625.63,17.0,50k-75k,37.0
619,80246,6,77874.04,15.0,75k-100k,15.33
620,93551,6,70781.90000000001,11.0,50k-75k,37.0
621,23230,6,62454.9,16.0,50k-75k,37.0
622,98201,6,54596.030000000006,31.0,50k-75k,37.0
623,85255,6,226976.54,12.0,175k+,5.88
624,04106,6,57135.19,11.0,50k-75k,37.0
625,94547,6,77311.49,18.0,75k-100k,15.33
626,90094,6,154566.67,45.0,150k-175k,1.78
627,61820,6,45331.49,15.0,<50k,28.25
628,97504,6,67814.71,13.0,50k-75k,37.0
629,98122,6,89354.5,12.0,75k-100k,15.33
630,92210,6,214581.5,17.0,175k+,5.88
631,91377,6,132635.69999999998,28.0,125k-150k,3.78
632,84098,6,179044.37,18.0,175k+,5.88
633,93955,6,45883.97,18.0,<50k,28.25
634,85705,6,28145.459999999995,10.0,<50k,28.25
635,84115,6,36753.97,29.0,<50k,28.25
636,33132,6,113727.83999999998,13.0,100k-125k,7.38
637,92675,6,120542.66000000002,14.0,100k-125k,7.38
638,28605,6,89814.96999999999,9.0,75k-100k,15.33
639,19341,6,103390.84999999999,14.0,100k-125k,7.38
640,94710,6,76996.21,15.0,75k-100k,15.33
641,98011,6,89576.43,19.0,75k-100k,15.33
642,02903,6,97187.46999999999,12.0,75k-100k,15.33
643,92407,6,45022.73,47.0,<50k,28.25
644,22801,6,58296.91999999999,9.0,50k-75k,37.0
645,94523,6,97813.19,14.0,75k-100k,15.33
646,29401,6,255286.06000000003,13.0,175k+,5.88
647,75219,6,154304.71,12.0,150k-175k,1.78
648,85007,6,49799.62,13.0,<50k,28.25
649,90242,6,46320.53,22.0,<50k,28.25
650,64081,6,84748.71,31.0,75k-100k,15.33
651,97224,6,80232.68,14.0,75k-100k,15.33
652,64501,6,32394.63,22.0,<50k,28.25
653,49022,6,35400.08000000001,18.0,<50k,28.25
654,53202,6,96411.27,9.0,75k-100k,15.33
655,80424,6,89808.79,8.0,75k-100k,15.33
656,32256,6,74020.2,13.0,50k-75k,37.0
657,97202,6,74737.71,25.0,50k-75k,37.0
658,85253,6,441655.43,15.0,175k+,5.88
659,87501,6,98167.34999999999,10.0,75k-100k,15.33
660,21231,6,72831.37,21.0,50k-75k,37.0
661,48864,6,107903.21,13.0,100k-125k,7.38
662,06475,6,98498.55,11.0,75k-100k,15.33
663,91204,6,43429.21,13.0,<50k,28.25
664,97006,6,70654.88,9.0,50k-75k,37.0
665,95037,6,114347.74,18.0,100k-125k,7.38
666,80903,6,55574.85,20.0,50k-75k,37.0
667,30097,6,144515.99,20.0,125k-150k,3.78
668,64014,6,57570.08999999999,28.0,50k-75k,37.0
669,32803,6,76986.53000000001,15.0,75k-100k,15.33
670,84770,6,50017.64000000001,14.0,50k-75k,37.0
671,19103,6,186819.23,10.0,175k+,5.88
672,01002,6,80493.90000000001,12.0,75k-100k,15.33
673,30341,6,62476.450000000004,23.0,50k-75k,37.0
674,94544,6,50924.57,26.0,50k-75k,37.0
675,32826,6,36454.34,17.0,<50k,28.25
676,11215,6,135682.64,12.0,125k-150k,3.78
677,40202,6,108229.03000000001,11.0,100k-125k,7.38
678,94509,6,48714.85,13.0,<50k,28.25
679,94598,6,152885.51,33.0,150k-175k,1.78
680,21213,6,31167.080000000005,17.0,<50k,28.25
681,85206,6,49995.88,9.0,<50k,28.25
682,37701,6,55103.469999999994,8.0,50k-75k,37.0
683,93454,6,46356.18,10.0,<50k,28.25
684,64112,6,196246.61,31.0,175k+,5.88
685,32034,6,104311.65000000001,10.0,100k-125k,7.38
686,98027,6,130487.23,25.0,125k-150k,3.78
687,33036,6,176007.04,10.0,175k+,5.88
688,52404,6,46926.35999999999,10.0,<50k,28.25
689,54130,6,64294.62,6.0,50k-75k,37.0
690,95356,6,85342.37,13.0,75k-100k,15.33
691,68434,5,66148.16,9.0,50k-75k,37.0
692,38053,5,47405.79,26.0,<50k,28.25
693,19107,5,76288.82,10.0,75k-100k,15.33
694,91942,5,57271.61,16.0,50k-75k,37.0
695,91773,5,77895.41,13.0,75k-100k,15.33
696,98661,5,61177.12999999999,9.0,50k-75k,37.0
697,98362,5,54675.02,10.0,50k-75k,37.0
698,84020,5,111032.34,10.0,100k-125k,7.38
699,43230,5,68284.49,20.0,50k-75k,37.0
700,38133,5,59388.83,9.0,50k-75k,37.0
701,32726,5,45936.29,10.0,<50k,28.25
702,20745,5,43333.01,36.0,<50k,28.25
703,21014,5,77830.35,9.0,75k-100k,15.33
704,53719,5,68772.11,11.0,50k-75k,37.0
705,92602,5,122224.13999999998,12.0,100k-125k,7.38
706,95441,5,83958.68,12.0,75k-100k,15.33
707,20007,5,241520.82,10.0,175k+,5.88
708,76155,5,56363.35,14.0,50k-75k,37.0
709,01915,5,90331.95,9.0,75k-100k,15.33
710,65802,5,40205.86,6.0,<50k,28.25
711,90266,5,311255.74,22.0,175k+,5.88
712,94513,5,87987.77,28.0,75k-100k,15.33
713,23606,5,62132.67,9.0,50k-75k,37.0
714,94534,5,96547.52,17.0,75k-100k,15.33
715,60301,5,87475.38,24.0,75k-100k,15.33
716,92020,5,53272.39,9.0,50k-75k,37.0
717,82190,5,55196.55,9.0,50k-75k,37.0
718,91731,5,36393.09,12.0,<50k,28.25
719,21076,5,85820.87,13.0,75k-100k,15.33
720,75067,5,49557.66,10.0,<50k,28.25
721,32806,5,77123.84,10.0,75k-100k,15.33
722,77005,5,405294.85,9.0,175k+,5.88
723,94583,5,200985.62,11.0,175k+,5.88
724,34741,5,28407.870000000003,8.0,<50k,28.25
725,32301,5,41241.23,8.0,<50k,28.25
726,02115,5,113500.13,16.0,100k-125k,7.38
