,Old Zip,Zip Code,Nearest Zip Distance,Average AGI,Stn ID,Stn State,Stn Lat,Stn Lng,Connectors
284,93009,,,,21606.0,CA,34.267352,-119.2124,1.0
285,99252,,,,35620.0,WA,47.673347,-117.38893300000001,3.0
286,23284,,,,39574.0,VA,37.551409,-77.45233,2.0
287,10281,,,,43744.0,NY,40.709610999999995,-74.01185,2.0
288,10281,,,,81153.0,NY,40.7141805,-74.0155677,2.0
289,48303,,,,49172.0,MI,42.57181646,-83.25019,1.0
290,33731,,,,49950.0,FL,27.772516999999997,-82.63193000000001,2.0
291,33731,,,,49951.0,FL,27.772514,-82.634781,4.0
292,33733,,,,49955.0,FL,27.778610999999998,-82.73089,2.0
293,19725,,,,52652.0,DE,39.662187599999996,-75.69113859999999,14.0
294,17831,,,,60910.0,PA,40.836286,-76.83465600000001,1.0
295,15231,,,,61496.0,PA,40.495769,-80.241314,6.0
296,89883,,,,65734.0,NV,40.738399,-114.058998,6.0
297,12181,,,,65804.0,NY,42.753369,-73.681563,2.0
298,94562,,,,70423.0,CA,38.443647,-122.408923,1.0
299,94562,,,,75826.0,CA,38.448821,-122.37790600000001,2.0
300,94562,,,,78459.0,CA,38.437207,-122.403095,1.0
301,94562,,,,85608.0,CA,38.451404600000004,-122.37375549999999,2.0
302,93106,,,,71260.0,CA,34.415166,-119.84050900000001,4.0
303,93106,,,,71241.0,CA,34.4176706,-119.84800590000002,8.0
304,93106,,,,71242.0,CA,34.4135555,-119.85307490000001,4.0
305,93106,,,,71248.0,CA,34.415816799999995,-119.8405506,8.0
306,90840,,,,72027.0,CA,33.783061,-118.11489099999999,2.0
307,90840,,,,72028.0,CA,33.783060799999994,-118.11489089999999,2.0
308,86023,,,,72209.0,AZ,35.969588,-112.129535,2.0
309,31883,,,,74168.0,GA,32.85984908,-85.17250033,2.0
310,05372,,,,74762.0,VT,44.529851,-72.781125,3.0
311,32500,,,,75033.0,FL,30.403134,-87.335542,1.0
312,32899,,,,75482.0,FL,28.526138899999996,-80.6792,3.0
313,28608,,,,77396.0,NC,36.214982,-81.675345,4.0
314,28608,,,,63368.0,NC,36.212469,-81.680442,1.0
315,22012,,,,77470.0,VA,38.9243953,-77.22568000000001,1.0
316,22012,,,,94683.0,VA,38.928415,-77.21624399999999,1.0
317,59921,,,,77985.0,MT,48.617286,-113.87890900000001,1.0
318,75261,,,,78592.0,TX,32.899809000000005,-97.040335,3.0
319,75261,,,,85934.0,TX,32.89031308,-97.03651037,4.0
320,75261,,,,85935.0,TX,32.88872837,-97.03764226,4.0
321,22404,,,,80566.0,VA,38.271078,-77.491973,1.0
322,99251,,,,81161.0,WA,47.7548904,-117.4163137,2.0
323,15705,,,,81952.0,PA,40.6115292,-79.1600998,1.0
324,94035,,,,85628.0,CA,37.409389000000004,-122.06344399999999,16.0
325,19331,,,,85975.0,PA,39.86193,-75.54400600000001,3.0
326,35632,,,,89108.0,AL,34.8064934,-87.6782579,4.0
327,35632,,,,89109.0,AL,34.808758000000005,-87.680153,4.0
328,91943,,,,89163.0,CA,32.779705,-116.99168999999999,2.0
329,04016,,,,89381.0,ME,44.1776756,-70.90504090000002,2.0
330,11249,,,,89454.0,NY,40.719425,-73.963964,2.0
331,11249,,,,78978.0,NY,40.722097999999995,-73.957163,4.0
332,11249,,,,74533.0,NY,40.720119,-73.963585,2.0
333,84726,,,,89612.0,UT,37.770342,-111.602511,2.0
334,25424,,,,89672.0,WV,39.31671,-77.766491,2.0
335,99729,,,,89915.0,AK,63.447842,-148.83645,2.0
336,04604,,,,68002.0,ME,43.530822,-70.361456,1.0
337,49610,,,,50683.0,MI,44.779413,-85.48758000000001,7.0
338,49610,,,,92244.0,MI,44.7795711,-85.48820620000001,2.0
339,95438,,,,82027.0,CA,38.497928,-122.766893,2.0
340,26102,,,,70457.0,WV,39.264226,-81.540657,1.0
341,28026,,,,75481.0,NC,35.409825,-80.58228199999999,2.0
342,30320,,,,81091.0,GA,33.64182,-84.44261999999999,16.0
343,30320,,,,81092.0,GA,33.64182,-84.44261999999999,30.0
344,30320,,,,81089.0,GA,33.64182,-84.44261999999999,22.0
345,30320,,,,81090.0,GA,33.64182,-84.44261999999999,24.0
346,11248,,,,82013.0,NY,40.751919,-73.965135,2.0
347,11248,,,,82011.0,NY,40.716085,-73.95450799999999,2.0
348,89003,,,,74234.0,NV,36.901505,-116.75433000000001,8.0
349,89003,,,,73400.0,NV,36.912382,-116.754648,4.0
350,30597,,,,79453.0,GA,34.529123,-83.98662,2.0
351,85346,,,,53688.0,AZ,33.661294,-114.24191,8.0
352,80529,,,,76376.0,CO,40.521759,-105.02291299999999,2.0
353,87707,,,,70296.0,NM,35.621961999999996,-105.205169,8.0
